"group_name" "seqnames" "exonic.gene.sizes"
"Tps_000001" "Tps_LRv5b_scf1" 311
"Tps_000002" "Tps_LRv5b_scf1" 276
"Tps_000003" "Tps_LRv5b_scf1" 924
"Tps_000004" "Tps_LRv5b_scf1" 225
"Tps_000005" "Tps_LRv5b_scf1" 1155
"Tps_000006" "Tps_LRv5b_scf1" 4746
"Tps_000007" "Tps_LRv5b_scf1" 2832
"Tps_000008" "Tps_LRv5b_scf1" 228
"Tps_000009" "Tps_LRv5b_scf1" 546
"Tps_000010" "Tps_LRv5b_scf1" 1986
"Tps_000011" "Tps_LRv5b_scf1" 324
"Tps_000012" "Tps_LRv5b_scf1" 837
"Tps_000013" "Tps_LRv5b_scf1" 393
"Tps_000014" "Tps_LRv5b_scf1" 207
"Tps_000015" "Tps_LRv5b_scf1" 1443
"Tps_000016" "Tps_LRv5b_scf1" 330
"Tps_000017" "Tps_LRv5b_scf1" 1683
"Tps_000018" "Tps_LRv5b_scf1" 513
"Tps_000019" "Tps_LRv5b_scf1" 927
"Tps_000020" "Tps_LRv5b_scf1" 1086
"Tps_000021" "Tps_LRv5b_scf1" 822
"Tps_000022" "Tps_LRv5b_scf1" 1467
"Tps_000023" "Tps_LRv5b_scf1" 468
"Tps_000024" "Tps_LRv5b_scf1" 417
"Tps_000025" "Tps_LRv5b_scf1" 813
"Tps_000026" "Tps_LRv5b_scf1" 753
"Tps_000027" "Tps_LRv5b_scf1" 579
"Tps_000028" "Tps_LRv5b_scf1" 420
"Tps_000029" "Tps_LRv5b_scf1" 390
"Tps_000030" "Tps_LRv5b_scf1" 378
"Tps_000031" "Tps_LRv5b_scf1" 372
"Tps_000032" "Tps_LRv5b_scf1" 270
"Tps_000033" "Tps_LRv5b_scf1" 531
"Tps_000034" "Tps_LRv5b_scf1" 1179
"Tps_000035" "Tps_LRv5b_scf1" 1086
"Tps_000036" "Tps_LRv5b_scf1" 4629
"Tps_000037" "Tps_LRv5b_scf1" 234
"Tps_000038" "Tps_LRv5b_scf1" 762
"Tps_000039" "Tps_LRv5b_scf1" 3678
"Tps_000040" "Tps_LRv5b_scf1" 312
"Tps_000041" "Tps_LRv5b_scf1" 354
"Tps_000042" "Tps_LRv5b_scf1" 411
"Tps_000043" "Tps_LRv5b_scf1" 363
"Tps_000044" "Tps_LRv5b_scf1" 5847
"Tps_000045" "Tps_LRv5b_scf1" 369
"Tps_000046" "Tps_LRv5b_scf1" 672
"Tps_000047" "Tps_LRv5b_scf1" 2307
